id,질문,정답,top1 문서
1,"캐나다 정부가 건강영향평가를 실시하기로 한 농약 중 2,4-D는 몇 개 제품에 사용되나요?",140개 제품에 사용됨.,"캐나다 보건부, 2,4D 에 관한 국제암연구소의 발표에도 캐나다의 2,4D 지위에는 변동 없어 캐나다 보건부는 이번주 초 세계보건기구(WHO) 산하의 국제암연구소가  2,4D 성분이 ""발암 가능성""이 있는 것으로 분류한다는 발표에도 불구하고 캐나다에서 이 화학물질의 지위는 변동없을 것이라고 전함. 당국 대변인은 캐나다 보건부가 2008년  2,4D에 대한 검토를 통해 농업지와 주택에서 라벨 안내사항에 따라 지속적으로 사용할 경우 인체 우려사항을 발생시키지 않는다고 결론지었다고 수요일(현지 시간), 이메일을 통해 밝혔음. 캐나다 보건부는 국제암연구소가 전 세계에서 가장 널리 사용되는 제초제 중 하나인 2,4D를 ""인체 발암 가능성""이있는 것으로 분류되어야 한다고 전한지 몇 일 지나지 않아 이 같은 답변을 전했음. 한편, 북아메리카 생명공학산업계는 국제암연구소가 발표한 이번 결론이 다른 국제연구소에서 수행한 결과와 일치하지 않는다고 주장하며 강력히 비난했음."
2,유럽식품안전청의 화학적 위해요인 데이터베이스는 어떤 자료를 기반으로 업데이트되었나요?,"유럽식품안전청의 화학적 위해요인 데이터베이스는 EFSA 패널이 채택한 평가의견과 성명에서 자료를 추출하여 업데이트되었으며, 이번 업데이트에서는 2014년 2월분 자료를 반영했습니다.","유럽식품안전청, 화학적 위해요인 데이터베이스 추가 개발 및 업데이트 유럽식품안전청(EFSA)은 식품 및 사료의 자체 화학적 위해평가에서 도출한 위해요인 데이터 요약을 이용해 화학적 위해요인 데이터베이스를 채워나가고 있음.화학적 위해요인 데이터베이스는 EFSA의 평가의견, 성명, 결과나 상세 설명(화학물질, 서류 설명, 위해요인, 위해요인 특성/위해성 특성)에서 뽑은 위해요인 자료들을 맵핑하는 용도로, 특히나 위해요인 데이터를 주요하게 다루고 있음.데이터베이스는 NDA, CONTAM, FEEDAP, AFC, AFC 등 EFSA 패널이 채택한 평가의견과 성명에서 자료를 추출하며, 화학물질 분류에 속하지 않는 성분(예: 미생물 및 효소)는 데이터베이스에서 제외됨.이번 업데이트에서는 2014년 2월분 자료를 반영했음.*연구 전문 http://www.efsa.europa.eu/en/supporting/doc/654e.pdf"
3,Jumbo UK Ltd의 검은콩 회수 이유는 무엇인가요?,건조된 콩이 훈증제로 사용되는 알루미늄포스파이드와 함께 수송되어 예방 조치로 회수함.,"[회수]영국 Jumbo UK Ltd, 알루미늄포스파이드 오염 위험으로 검은콩 회수 영국 식품기준청, 'Jumbo UK Ltd'의 검은콩을 알루미늄포스파이드 오염 위험으로 회수 발표 - 일시: 2014. 10. 16.- 제품명: Brown Beans(1kg, 1.5kg, 4kg, 모든 배치 제품)- 브랜드명: Nigeria Taste- 회수사: Jumbo UK Ltd- 회수사유: 건조된 콩이 훈증제로 사용되는 알루미늄포스파이드(aluminium phosphide)와 함께 수송됨. 알루미늄포스파이드가 검출된 제품은 없으나 예방 조치로 회수함."
4,머크사는 왜 2013년에 질맥스 판매를 중단했나요?,젖소의 보행이 어려운 문제로 인해 동물 복지가 우려되었기 때문입니다.,"미국 머크(사), 당사의 동물용 의약품 안전성 검사 진행 중에 있으나 모호한 부분 많아.. 미국 머크(사)(Merck  Co Inc.)가 미국 소(cattle) 240,000마리의 검사를 통해 사료첨가제로 논란이 많았던 당사의 제품인 '질맥스(Zilmax)'가 안전하다는 것을 증명하기를 원하고 있음. 하지만 여기에는 카길(사)(Cargill Inc.)와 같은 대형 육가공업체가 동물용 의약품을 건드리는 것을 원치 않고 있음.  머크(사)는 지난 8월 미국과 캐나다엥서 동물의 비육을 목적으로 한 의약품의 판매가 중단된 이래로 이 동물용 의약품의 재도입을 위해 거대한 검사 계획을 세우고 있음. 검사대상 무리의 규모는 현재 약 5억만 달러치의 가치가 있음. 하지만 사료로트(feedlot) 소유주는 질맥스를 먹인 동물을 도축업자들이 계속해서 구매할 의사가 있는지 여부가 보장되기 전까지는 이번 연구에 참여하기를 망설이고 있음. 세계 최대이자 쇠고기 가공업체의 양대산맥인 카길(사)(Cargill Inc.)와 타이슨 푸드(사)(Tyson Foods Inc.)는 질맥스를 먹인 소에게 절뚝거림 현상이 보고된 이후, 지난 가을부터 이를 취급하는 것을 중단한 질맥스에 대한 입장에는 변화가 없음을 본지(Reuters)에 밝힘. 두 업체는 미국 쇠고기 가공 분야의 37%를 차지하고 있음. 본지는 지난 12월 타이슨 푸드(사)가 질맥스를 먹인 가축을 수용하는 것을 중단했다고 보도했음.쇠고기 가공업체들은 머크(사)가 과학적으로 질맥스가 동물에게 안전하다는 것을 증명할 때까지 이를 금지하겠다고 언급했음.  머크(사)는 12월, 첫 분기에 질맥스에 대한 평가를 시작했다고 전했음. 하지만 이번주 업체 대변인은 240,000 마리의 젖소가 미국 어느 지역에서 유래한 것인지, 테스트를 시작했던 것인지, 도축 전 가축들을 사육하고 비육하게 만드는 사료로트 업체, 혹은 목장주와 포장시설에 등록을 했는지 여부를 밝히기를 거부했음. 대변인은 현 계획상 몇 달간 현장검사에 참여하게 위해 미국 전역 73,000개 이상의 사료로트 중에서 적어도 50개 사료로트를 등록하는 것이었다고 전함. 또한 젖소의 가공에 동의한 각 도축장에 해당하는 5개 에서 15개 사료로트가 등록하기를 바란다고 전함."
5,유럽식품안전청이 프로피온산과 관련된 안전성 재평가에서 어떤 결론을 내렸나요?,"유럽식품안전청은 프로피온산과 관련하여 유전독성 및 발암성에 대한 우려가 없으며, 현재 승인된 용도와 수준으로 사용된다면 안전성 우려가 제기되지 않는다고 결론지었습니다.","유럽식품안전청, 프로피온산, 프로피온산나트륨, 프로피온산칼슘, 피로피온산칼륨 안전성 재평가 의견 발표 유럽식품안전청의 식품첨가물 및 식품에 첨가하는 영양소 패널(ANS)은 프로피온산(E 280), 프로피온산나트륨(E 281), 프로피온산칼슘(E 282), 피로피온산칼륨(E 283)에 대한 안전성 재평가 의견을 발표함.  - 유전독성 및 발암성에 대한 우려 없음. - 프로피온산을 식품첨가물로 사용할 때 평균 및 95th percentile 식이노출치는 각각 0.7-21.1 mg/kg bw/day, 3.6-40.8 mg/kg bw/day임.- 현재 식품 첨가물로서 승인된 용도와 수준으로 사용된다면 안전성 우려가 제기되지 않음.  * 의견 전문: http://www.efsa.europa.eu/en/efsajournal/doc/3779.pdf"
6,파나마병을 야기하는 곰팡이 균주 TR4가 미국 바나나 공급에 어떤 영향을 미치고 있나요?,"TR4 균주는 미국의 과일 공급을 심각하게 위협하고 있으며, 캐번디시 바나나 품종이 전멸되어 가고 있습니다.","미국, 바나나를 위협하는 곰팡이균의 확산 심각해 세계의 바나나 상품을 위협에 빠뜨리는 곰팡이 균주의 확산으로 인해 바나나 식품망이 위기에 처했음. 1989년 최초로 파나마병(Panama disease)을 야기하는 곰팡이 균주(TR4)를 발견한 플로리다 주립대학 식물병리학 교수 랜디 플뢰츠는 라틴아메리카 생산자와 미국의 과일공급을 심각하게 위협하기 시작할 것이라고 전하며 아주 심각한 상황이라고 말했음. 그는 본 방송사(CNBC)와의 인터뷰를 통해 이 시점에 곰팡이 균주의 확산을 저지시킬 방도가 없다고 말했음.1,000여 품종의 바나나 중 세계 과일군의 45%를 차지하는 것은 캐번디시 바나나 품종으로 미국 내 슈퍼마켓에서도 흔히 발견할 수 있음.캐번디시 바나나는 파나마병을 야기하는 균주에 내성이 있음이 발견된 이래로 1950년대 인기 품종으로 부상했음. 현재 해외 바나나 수출시장의 약 95%를 차지하는 캐번디시 바나나 품종은 플뢰츠 교수가 발견한 곰팽이균주로 인해 전멸되어 가고 있음. 이 균주는 아시아, 중동, 아프리카의 바나나 작물에 타격을 주었으며 이것이 미국 중남부 지역으로 확산될지 여부가 우려되고 있음. UN 식량농업기구(FAO)에 따르면 바나나 재배국들은 모니터링, 보고, 예방을 강화할 것을 경고했고 그 문제는 더욱 악화되었다고함"
7,미국 동식물검역국이 멕시코 소로나주를 열진드기 청정지역으로 승인하려는 이유는 무엇인가?,소노라산 소와 반추류의 수입에 관한 규제를 없애고 반추류 수입업자와 수출업자의 진드기 침지와 관련된 비용을 절감시키기 위함이다.,"미국 동식물검역국, 멕시코 소로나주 열진드기 청정지역 승인안 발표 미국 동식물검역국(APHIS)은 멕시코 소로나주를 열진드기 청정지역으로 승인할 것을 제안을 함.  당국은 미국의 통관 적격 요건으로 소로나에서 유래한 소와 그 밖의 반추류에 현재 적용되는 진드기 구충제 침지 처리 요건과 침지와 관련된 문서화요건의 면제 또한 마련함. 개정안은 더 이상 불필요하다고 간주되는 소노라산 소와 반추류의 수입에 관한 규제를 없애고 반추류 수입업자와 수출업자의 진드기 침지와 관련된 비용을 절감시킬 것임. 당국은 2014년 9월 15일까지 수렴된 의견을 고려할 것임."
8,Mountain View Organic Dairy의 목욕용 우유는 언제 회수되었나요?,2014년 12월 12일에 회수되었습니다.,"[회수]호주 Mountain View Organic Dairy, 유해 병원균 함유 가능성으로 목욕용 우유 회수 *12일자 경쟁소비자위원회(ACCC) 안내문으로 기수집한 정보  - 회수일시: 2014.12.12- 유통지역: 빅토리아주 (*상세 거래처명은 원문 참조)- 제품명: Organic Bath Milk (목욕용 비저온살균 생유, 1리터 또는 2리터 포장, 화장품으로 판매, 식용 부적합 표시, 유통기한 181214)- 회수사: Mountain View Organic Dairy- 회수사유: 유해 병원균 함유 가능성"
9,카프리 썬 주스제품의 포장 시스템에 어떤 변화가 있었나요?,"카프리 썬은 포장 시스템에 큰 변화를 주었으며, 이번 달 새로 출시된 파우치에는 깨끗한 내용물을 확인할 수 있게 되었습니다.","미국, 카프리 썬 주스제품에서 곰팡이 발견 미국 위스콘신주에 뉴 베를린에 거주하는 한 소비자 수잔 호그(Suzanne Hogue)는 그녀의 5살 난 아들의 주스박스 제품에서 곰팡이를 발견했다고 본 방송사(FOX6′s Contact 6)에 알렸음. 그녀는 아들에게 줄 주스를 컵에 따랐는데 컵 안에 내용물은 갈색의 검고, 녹색을 띄었다고 함. 전문가는 주스박스에서의 곰팡이 성장은 아마 공기 중에 노출되어 일어날 수 있는 현상이라고 말했음. 미국 전역에 걸친 소비자들이 주스박스와 파우치 제품에서 곰팡이를 발견한 것과 관련해 항의하고 있지만 업체는 포장과정이 문제라고 지적하면서 브랜드 자체는 문제되지 않는다고 함. 크라프트(Kraft)(사)의 카프리 썬(Capri Sun)은 포장 시스템에 큰 변화를 주고 있음. 이번달 새로 출시된 새로운 파우치에는 깨끗한 내용물을 확인할 수 있을 것임. 카프리 썬 웹사이트에 올라오는 가장 빈번한 질문은 ""곰팡이 때문에 이러한 변화를 준 것인가?"" 였음.이에 카프리 썬은 ""우리는 여러가지 이유로 포장시스템에 변화를 주었다. 미국의 어머니 소비자들은 합성 보존료·착향제·향미료가 첨가되지 않은 카프리 썬 주스음료를 좋아한다고 말하고 있다. 하지만 그들은 파우치의 내용물을 보기를 원한다. 어린이들이 좋아하는 카프리 썬이 좋은 성분만 함유하고 있다는 것을 무(無)침전물로써 쉽게 확인할수 있을 것이다.""라고 답변했음."
10,ZMapp 실험 약품 투여 후 켄트 브랜틀리의 상태는 어떻게 변했나요?,브랜틀리는 걸을 수 있게 되었습니다.,"미국, 에볼라 바이러스 감염환자 2명.. 실험약물 투여 후 증세 호전 에볼라 바이러스에 감염되었다고 보도된 켄트 브랜틀리(Kent Brantley)와 낸시 라이트볼(Nancy Writebol)의 증세가 'ZMapp'이라는 실험 약품이 투여된 뒤 호전되고 있음. 아틀란타 에모리 대학병원에서 치료를 받고 있는 브랜틀리는 걸을 수 있게 되었으며, 라이트볼은 화요일(5일) 아틀란타에 당도할 예정이라고 함. 7월 22일, 브랜틀리는 열병 증세를 겪기 시작했으며, 라이트볼의 증세는 3일 뒤 시작되었음. 원조기관인 '사마리안의 지갑(Samaritan's Purse)'에서 구호활동을 벌이던 이들은 라이베리아 지역의 다른 의료종사자와의 접촉을 통해 감염된 것으로 여겨짐."
