row_0,물리적 위해요소/이물질,생물학적 위해요소/곰팡이독소,생물학적 위해요소/기생충,생물학적 위해요소/기타,생물학적 위해요소/동식물질병,생물학적 위해요소/미생물,생물학적 위해요소/생물독소,신규 위해요소/GMO(LMO),신규 위해요소/방사능,신규 위해요소/신규식품,안전위생/안전,안전위생/위생,영양건강/건강,표시광고/GMO,"표시광고/광고(허위, 과대 등)","표시광고/기간(유통기한, 제조일자 등)",표시광고/기타,"표시광고/안내(경고, 주의사항 등)",표시광고/알레르기,표시광고/영양성분,표시광고/원료·성분·함량,표시광고/원산지,표시광고/유기식품,표시광고/제품명,화학적 위해요소/기구용기포장유래물질,화학적 위해요소/기타,화학적 위해요소/동물용의약품,화학적 위해요소/식품첨가물,화학적 위해요소/의약품성분,화학적 위해요소/잔류농약,화학적 위해요소/중금속
기타/기타,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
물리적 위해요소/기타,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
물리적 위해요소/방사선조사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
물리적 위해요소/성상,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
물리적 위해요소/이물질,79,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
생물학적 위해요소/곰팡이독소,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
생물학적 위해요소/기생충,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
생물학적 위해요소/기타,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
생물학적 위해요소/동식물질병,0,0,1,0,61,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
생물학적 위해요소/미생물,1,3,2,1,0,249,0,0,0,1,9,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
생물학적 위해요소/생물독소,0,0,0,0,1,1,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신규 위해요소/GMO(LMO),0,0,0,0,0,0,0,23,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신규 위해요소/기타,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신규 위해요소/나노,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신규 위해요소/방사능,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
신규 위해요소/신규식품,0,0,0,0,0,0,0,1,0,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
안전위생/안전,0,0,0,1,2,8,1,4,0,1,104,18,9,0,5,0,0,0,0,0,2,1,0,0,3,2,0,5,6,0,1
안전위생/위생,4,0,0,0,0,1,0,0,0,0,18,48,3,0,0,0,0,1,2,0,0,0,0,1,0,1,0,2,0,0,1
영양건강/건강,0,0,0,0,0,3,0,0,0,0,4,2,48,0,6,0,0,0,1,0,4,0,0,0,0,1,1,0,0,0,0
영양건강/영양,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
영양건강/영양성분,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0
표시광고/GMO,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"표시광고/광고(허위, 과대 등)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0
"표시광고/기간(유통기한, 제조일자 등)",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
표시광고/기타,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,6,0,1,0,1,3,0,1,0,0,0,0,0,0,0
"표시광고/안내(경고, 주의사항 등)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0
표시광고/알레르기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0
표시광고/영양성분,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0
표시광고/원료·성분·함량,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,6,0,4,0,28,0,0,4,0,0,0,0,0,0,0
표시광고/원산지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
표시광고/유기식품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
표시광고/제품명,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,6,0,0,0,0,0,0,0
해당없음/해당없음,0,0,0,0,0,0,0,0,0,0,8,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
화학적 위해요소/기구용기포장유래물질,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,2
화학적 위해요소/기타,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,1,5,1,0
화학적 위해요소/동물용의약품,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0,1
화학적 위해요소/식품첨가물,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
화학적 위해요소/의약품성분,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,0,0
화학적 위해요소/잔류농약,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,0,49,0
화학적 위해요소/중금속,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
