split,ood_tag,method,threshold,score,true_label,pred_label,text
OOD,ood_csv_ood_data,maha,-9827.423779,-3031.113770,N/A,안전위생,"유럽집행위원회, 보건 및 식품안전분야 브렉시트 대비 안내 유럽집행위원회 부위원장 지르키 카타이넨은 보건 및 식품 안전 분야의 브렉시트 대비 상황에 대해 다음과 같이 발언함(식품분야 발췌). EU는 세계에서 가장 높은 식품안전기준을 갖고 있음. 동물 및 식품의 자유로운 이동은 엄격한 공유 제어 시스템 덕분임. 영국이 EU를 떠날 때, 우리는 오래전 제거했던'국경'이라는 장애물에 직면하게 될 것임. 영국과의 국경에서 새로운 통제가 수행되어야 할 것임. 회원국들은 국경검사소를 설치하고 있으며, 집행위는 이를 신속하게 승인하고 있음. 또한, 회원국은 세관 및 안전 검사를 수행할 직원을 모집하였으며 가장 영향을 받게 되는 국가(프랑스, 벨기에, 아일랜드, 네덜란드, 덴마크)에서 2,000명 이상의 전문가가 채용되었음. 우리는 영국이 관련 법령을 채택하고 필요한 식품안전요건이 충족되면 영국 제품 및 동물이 EU에 계속 진입할 수 있도록 필요한 조치를 취하고 있음. 결론적으로, 우리는 영국의 결정을 유감스럽게 생각하지만 우리측은 모든 준비가 완료되었으며 영국이 EU를 떠난 다음날 회원국과 이해관계자들을 지원하기 위한 추가 조치를 취할 준비가 되었음."
OOD,ood_csv_ood_data,maha,-9827.423779,-1836.040039,N/A,안전위생,"G8, 식품안전에 대한 기회의 문 열수도 있어 세계보건기구 식품안전 및 인수공통질병부장 Dr. Kazuaki Miyagishima는 몇 주전에 러시아에서 열린 G8 정상 예비회담에 참석한 G8 대표들은 신속한 식품안전정보교류의 중요성에 대해 동의하였다고 전함.  그에 따르면 G8에서 논의될 아젠다에 식품안전이 거론 된 것은 이미 오래되었지만 멜라민 등의 대형 스캔들을 보면 실제 이 부분에서 더 안전해 지지는 않은 실정임. 그는 식품안전 아젠다에서 가장 중요한 부분은 신속한 정보 교류 또는 신속 경보에 관한 것이 될 것이라고 언급함. "
OOD,ood_csv_ood_data,maha,-9827.423779,-2525.985596,N/A,안전위생,"호주 연방의료제품청, 보충의약품에 대한 설명 자료 발표 호주 연방의료제품청(TGA)이 보충의약품에 대한 전반적인 설명 자료를 발표함. [보충의약품(complementary medicine)이란?]보충의약품은 건강식품점, 슈퍼마켓, 약국에서 구할 수 있는 비처방의약품으로, 처방의약품(의사 처방)이나 일부 OTC 약품(일부 약사)과는 달리 소비자가 선택할 수 있도록 진열대에서 구입할 수 있음.보충의약품은 의료 전문가들이 권장하는 의료적인 치료를 대체해서는 안 되며, 그 예로는 다음과 같음.- 전통적인 생약(herbal medicine)- 일부 영양 보충제- 비타민 및 미네랄- 동종 요법(희석제) 준비- 에센셜 오일을 포함한 아로마요법 제품- 전통적인 중국 의약품- 아유르베딕(전통 인디언) 의약품 [보충의약품 규제 방법]대부분의 보충의약품은 호주에서 판매되기 전에 ATCG(Australian Register of Therapical Goods)에 포함되어야 함.보충의약품에는 세 가지 유형이 있음.- 라벨에 AUST L 번호가 있는 등재 보충의약품(listed complementary medicines)- 라벨에 AUST L(A) 번호가 있는 평가 등재 보충의약품(assessed listed complementary medicines) - 라벨에 AUST R 번호가 있는 등록 보충의약품(registered complementary medicines) 등재의약품과 평가 등재의약품은 일반적으로 의사나 약사가 처방하거나 권장하는 것이 아니라 소비자가 선택하며, 거의 대부분의 보충의약품은 등재의약품임. 등록의약품은 더 높은 위험성을 가지고 있으며, 일부 의약품은 소비자가 선택할 수 있는 반면, 일부는 건강 전문가를 통해서만 구입할 수 있음. [등재 보충의약품]등재 보충의약품은 위험이 낮으므로 판매하기 전에 유효성을 평가하지 않음.스폰서 회사가 의약품을 ARTG에 등록할 때, 다음을 표시해야 함.  - 사전 승인된 낮은 위험 수준의 성분만 함유- 사전 승인된 낮은 위험 수준의 건강적인 주장만 함- 의약품 보유 스폰서가 가지고 있는 증거에 의해 지지됨- 면허를 소지한 호주 내, 또는 승인된 해외 시설에서 제조됨- 치료용 상품 광고 법규(Therapeutic Goods Advertising Code) 등 다른 모든 규정을 준수함 등재의약품은 판매 중에 증거사항 검토 등의 규정 준수를 위해 검토할 수 있으며, 비준수의약품은 등재가 중지하거나 취소될 수 있음. [평가 등재 보충의약품]평가 등재 보충의약품은 다른 등재의약품보다 약간 더 위험한 건강 클레임을 제기함. 예를 들어, 등재의약품은 이명이나 류마티스 관절염과 같은 상태를 언급할 수 없지만, 평가 등재의약품은 가능함.평가 등재 보충의약품 더 많은 위험의 건강 클레임을 하기 때문에, 판매 전 효능 평가를 받음. 스폰서 회사는 반드시 인간 임상시험의 자료 등 의약품을 뒷받침할 수 있는 양질의 증거를 제공해야 하며, 평가 등재의약품은 (상징 및/또는 문장으로) 'TGA가 평가함'을 표시할 수 있음. - 'TGA가 평가함' 상세 내용 확인 : https://www.tga.gov.au/what-does-tga-assessed-mean-my-medicine-label  [등록 보충의약품]등록 보충의약품은 더 높은 위험 성분을 포함하거나 더 심각한 상태에 대한 건강 클레임을 제기할 수 있음이 제품들은 더 많은 위험을 가지고 있기 때문에, 판매 전에 이 의약품의 안전성과 품질, 효능을 충분히 평가하고 확인함. 스폰서 회사는 인간 임상시험 자료 등 의약품을 뒷받침할 수 있는 양질의 증거를 제공해야 함. 이 의약품 판매가 시작된 후 감시 도중 문제가 발견되면, 그 의약품의 등록이 중지되거나 취소될 수 있음. 등록 보충의약품은 'TGA가 평가함'을 표시할 수 있음."
OOD,ood_csv_ood_data,maha,-9827.423779,-606.140625,N/A,안전위생,"미국 회계 감사원, 식품안전현대화법에 의거한 FDA의 해외 점검 횟수 실적 부진해 미국 회계 감사원(GAO)은 미 식품의약품청(FDA)이 FDA의 해외 사무소가 미국으로 식품이 계속 수입되도록 더욱 노력해야한다고 밝힌 보고서를 발표했음. 2008년, FDA는 안전하지 않은 제품이 미국에 접근하는 것을 방지하도록 돕기 위해 해외 사무소를 설립했음. 2011년 1월, 버락 오바마 대통령이 서명한 식품안전현대화법(FSMA)은 2011년에 최소 600개 해외 식품 시설을 점검하고, 향후 5년간 매년 점검 수를 두 배로 늘리도록 FDA에 명했음. FDA는 2011년 1,002 회 점검을 마쳐 요구된 점검수 이상의 실적을 냈으나, 2012년에는 전년 대비 34% 증가한 1,343회에만 그쳤음. 또한 2013년 동안에는 1,403회 점검을 마쳤음. GAO는 지금까지 수집한 정보에 따르면, FDA의 2014년 점검완료 횟수는 1,323회라고 함. FDA 관계자는 예산이 부족하여 FSMA 의무사항을 준수하기 어렵다고 GAO에 밝혔으며, 점검 횟수가 많은 것의 유용함에 대해 의문을 제기했음.  이에 GAO는 FDA는 수입식품의 안전성을 보장하기 위해 요구되는 점검 횟수를 결정하기 위한 분석을 수행해야한다고 전했음. 또한, 이러한 분석없이는 FDA가 충분한 해외 점검 횟수를 파악하고 있는 입장이 되지 못하며 적합한 경우, 의무사항에 대한 개정을 요구하라고 보고서에 밝혔음. GAO는 점검 횟수가 FSMA에서 의무명시된 점검수와 다를 경우, FDA는 그 결과를 의회에 보고하고 의원에 입법안을 개정하도록 제안해야한다고 밝혔음. * GAO 보고서: http://www.gao.gov/assets/670/668230.pdf"
OOD,ood_csv_ood_data,maha,-9827.423779,-2473.976562,N/A,안전위생,"EU집행위, 식품 사기 관련 협력 강화를 위한 IT 도구 가동 유럽연합 집행위원회가 유럽 내 초국경적 위반 퇴치를 위해 노력 중인 회원국 관할당국 간의 행정정보 교환을 개선하기 위한 행정지원협력(AAC)로 알려진 전용 IT 도구를 가동했음.  2013년 말고기 파동 이후, 집행위원회는 식품 공급망 통제 강화를 위한 액션 플랜을 수립했음. 이러한 조치 중, 회원국 관할당국과 집행위원회 간의 신속한 정보교환을 보장하기 위한 범유럽 메커니즘 구축이었음. 그 결과, 식품사기네트워크(FFN)가 탄생했으며 초국경적 협력 요청을 취급하는 과제를 맡았음. 각 회원국은 컨택 포인트를 지정하여, 네트워크를 구성하는 디른 회원국 컨택 포인트의 요청을 처리하도록 함. 동 네트워크는 2013년 7월 부터 가동되었음. 신설 이후 집행위원회는 교환 건수의 괄목할만한 증가(2013년 30건>2015년 현재까지 90건)를 확인했음.   초국경적 협력은 회원국 관할당국의 다음 분야에서 역량 개선을 지원함. - EU 식품망 규칙의 초국경적 위반 사례 적발 및 예방- 필요한 경우, 후속 연구에 사례 제시 및 적합한 행동 강화를 보장하는 데 필요한 정보 수집 AAC 시스템은 FFN이 보다 효율적으로 가동되고, 정보 요청에 보다 신속하게 대응할 수 있도록 할 것임.  <2014 FFN 활동 보고서>는 사기 혐의는 대부분 라벨 오류(일자 표기/ 물ㆍ성분 첨가), 인증 혹은 문서 위조,  하위 등급종으로 바꿔치기 등과 관련한다고 밝힘. 이러한 테이터로 통계적 결론을 낼 수 없는데, 그 이유는 회원국간의 다른 정보교환이 가능하며, 초국경적 규모가 아닌 경우 FFN을 통하지 않기 때문임.  1단계로 FFN이 AAC 시스템을 사용할 것임. 향후, 식품 사기와 무관한 행정지원협력 사례에 관한 연락담당기관도 사용할 수 있게 될 것임.  * <2014 FFN 활동 보고서> 원문: http://ec.europa.eu/food/safety/official_controls/food_fraud/docs/food_safety_controls_fraud_network-activity-report_2014.pdf"
OOD,ood_csv_ood_data,maha,-9827.423779,-4863.916992,N/A,안전위생,"미국 주류담배과세무역청, 주간 뉴스레터(2015.1.30)  미국 주류담배과세무역청(TTB)은 2015년 1월 30일자, 주간 뉴스레터를 발표함. 1) 2014 알코올음료 검체채취 프로그램 결과 발표알코올 음료에 부착된 라벨이 정확한 정보를 담고 있으며, 소비자를 오인케 하지 않을 것이라는 점을 확고히 하는 것은 국민건강을 보호하기 위한 TTB의 미션에 해당됨. TTB는 준수 사항을 살피고, TTB의 성과를 평가하기 위해 시장에서 제품을 무작위로 조사하는 '알코올 음료 검체채취 프로그램(ABSP)'을 마련했음. - 2014 ABSP 결과TTB는 매년 시장에서 제품을 구매하여 당국의 라벨 규정을 준수하고 있는지를 평가함. 라벨 평가에 이어, 제품에 표시된 특정 정보의 정확성을 확인하기 위해 TTB의 연구실로 제품을 보내 일련의 분석과정을 거침. ABSP 결과는 TTB.gov에 게시함.* 2014 ABSP 결과: http://www.ttb.gov/pdf/2015-01-07-fy2014-results.pdf - 증류주 업계를 위한 발효(Proofing) 영상 시리즈 2) 6가지 정보수집에 관한 의견수렴 실시TTB는 현존하는 다음의 6가지 TTB 정보 수집(양식, 기록보관 요건 및 조사)의 확대 또는 개정에 대해 2015년 3월 23일 내내 의견수렴을 실시함.- OMB No. 1513–0007, 양조업자의 운영 보고 (TTB F 5130.9) 및 양조업자의 분기별 운영 보고(TTB F 5130.26)- OMB No. 1513–0008, 푸에르토 리코인 제조업체의 과세 품목 및 주류(Liquors) 운송 신청 및 허가(TTB F 5170.7)- OMB No. 1513–0037, 증류주(Spirits) 철회, 변성 증류주(Specially Denatured Spirits) 또는 수출용 와인(TTB F 5100.11)- OMB No. 1513–0040, 26 U.S.C. 5171(d)에 의거한 운영허가 신청 (TTB F 5110.25)- OMB No. 1513–0042, 수출된 증류주에 관한 결함(TTB F 51130.30)- OMB No. 1513–0043, 푸에르토 리코인의 면세 증류주 미국행 운송 신청 및 허가(TTB F 5110.31)"
OOD,ood_csv_ood_data,maha,-9827.423779,-3617.282227,N/A,안전위생,"미국 GNC, 4번째 외부 연구소 검사결과 Herbal Plus 제품의 요건 준수 적합해 미국 GNC는 외부 연구소를 통해 4회에 걸친 검사 결과, GNC의 Herbal Plus 라인 제품이 안전성, 품질, 순도 및 표시에 대한 모든 요건을 충족하고 있다고 발표했음. 뉴욕주 에릭 슈나이더만 검찰총장은 DNA 바코딩 검사법을 통해 검사 제품 중 79%가 라벨에 표시된 원료를 함유하고 있지 않거나, 라벨에 표시되지 않은 원료를 함유하고 있다는 점이 나타난 뒤, 2월 2일, 4개 주요 소매업체(GNC, 타겟, 월그린 및 월마트)에 이들 제품을 판매중단하라고 명령하면서 공식적인 검사에 착수했음. 본지는 2013년, DNA 바코팅은 식물류 검사에 무한한 가능성을 제공하고 있지만, 적합한 물질에 한해서만 그러하다고 보도한 바 있음. 하지만, 식물 추출물의 경우에는 다른 추출물에는 DNA가 들어있는 반면, 식물 추출물은 진짜로 판명나기 불가능할 정도로 DNA의 질이 떨어지거나 분해되기 때문에 특히 문제시됨. 모든 GNC 검사 제품은 추출물이었음. 한편, 뉴욕주 검찰총장의 검사결과를 공개하라는 업체측의 강력한 요구에도 불구하고 검찰총장 집무실에서는 조사가 진행중에 있음으로 데이터를 발표하지 않을 것이라고 전했음.  검찰총장 측은 일부 제품의 구조-기능 강조표시를 입증하기 위한 문서를 요구하도록 조사 범위를 연이어 확대했음. 2월 23일, 4개 주요 제조업체에 뉴욕주에서 판매중인 모든 허브 보충제의 세부 성분 및 품질관리 정보를 요구하는 서한을 보내어 조사에 박차를 가했음. 또한 이번 주, 검찰총장은 코네티컷, 인디애나 및 푸에르토 리코 소속 검찰총장이 허브 보충제의 사업 관행을 추가 조사하기 위해 뉴욕 검찰총장과 함께 연대를 형성했다고 발표했음."
OOD,ood_csv_ood_data,maha,-9827.423779,-2978.610107,N/A,안전위생,"영국 식품기준청, 6개 과학자문위원회에 관한 검토 결과 발표 영국 식품기준청(FSA)은 청의 6개 과학자문위원회(SACs)에 관한 검토 결과를 발표했음. 검토는 FSA가 청의 업무를 지원하는 독립적인 전문가 과학 자문을 지속적으로 얻을 수 있도록 보장하기 위해 수행되었음.  FSA 이사회와 국무조정실에서 검토 결과를 수락했음. 6개 자문위원회는 다음과 같음.- 과학에 관한 종합 자문 위원회(GACS)- 식품, 소비자 제품, 환경 중 화학 독성에 관한 위원회(COT)- 식품 중 미생물학적 안전에 관한 자문 위원회(ACMSF)- 동물 사료에 관한 자문 위언회(ACAF)- 신소재 식품 및 가공에 관한 자문 위원회(ACNFP)- 사회 과학 연구 위원회(SSRC) 검토 결과는 여덟 가지 제안 사항 중 하나로 FSA의 과학 활용에 독립적이고 높은 수준의 자문과 도전을 제공하는 역할은 GACS부터 새로운 과학 자문위원회(Science Council)까지 이어져야 한다고 결론지었음.    *검토 결과 보고서: http://www.food.gov.uk/sites/default/files/triennial-review-sac.pdf"
OOD,ood_csv_ood_data,maha,-9827.423779,-1291.174927,N/A,안전위생,"유럽식품안전청, EFSA 포컬포인트 네트워크 활동 10주년 맞아 타임라인 소개 지난 10년 동안 유럽식품안전청(EFSA) 포컬포인트는 각 회원국의 대표로서 활동하고, 식품안전에 관한 국가 간 협력 네트워크로 운영되어왔음. 이를 기념하기 위해 동 네트워크의 주요 성과에 관한 새로운 대화형 타임라인(*)을 발표함. 2008년에 수립된 동 포컬포인트 네트워크는 28개 회원국, 아일랜드, 노르웨이 회원뿐만 아니라 스위스 및 사전가입국도 옵저버로 참여함. 이는 정보 공유, 네트워크 및 참여를 촉진하고 EU 위해 평가 역량 구축, EFSA 및 회원국에 의해 수행된 과학적 업무를 알리는 데 중요한 역할을 함. *활동 타임라인: https://cdn.knightlab.com/libs/timeline3/latest/embed/index.html?source=1S_4dvDoj3obVOaX8lN048bfi8HXrrFwVOwBUVrO7kzs"
OOD,ood_csv_ood_data,maha,-9827.423779,-2409.345947,N/A,안전위생,"CODEX, 제40차 국제식품규격위원회 총회 개최 금일(17일)부터 스위스 제네바에서 제40차 국제식품규격위원회 총회가 열림. 120개국 이상에서 온 600여명의 대표단이 국제 식품안전규격에 대해 중요한 결정을 내릴 것임. 50개가 넘는 기준규격과 30개 이상의 제안서 등이 검토될 예정임.    동 회의의 주요 결정 사항은 다음과 같음. - 영양 표시 가이드라인(소비자를 위한 식품포장 중 영양 정보)- 신선 과일 및 채소 관련 위생실행규범- 다양한 식품 중 20가지 이상의 농약 MRL- 특정 식품첨가물의 최대 기준- 가공 과일 및 채소 중 납 최대 기준- 동물용의약품(이버멕틴, 라살로시드나트륨, 테프루벤주론)의 육류 중 MRL- 쌀 중 비소 오염 예방 및 감소를 위한 실행규범- 쿠민, 타임, 흑색,백색,녹색 후추에 대한 기준  또한, 새로운 업무 제안에는 항생제 내성에 관한 CODEX TF, 어류 중 수은 최대 기준 설정, 식품 중 비의도적으로 저농도로 존재하는 화학물질 위해 분석을 위한 가이드라인, 정제유 및 정제유로 만든 제품(예: 팜유) 중 화학적 오염물질 감소를 위한 새로운 실행규범 등이 포함됨.  회의는 금주 토요일까지 진행됨."
